Nome do Produto,Sistema,Documento,Transação,Meio de Pagamento,Moeda,Preço do Produto,Número da Parcela,Data de Venda,Status,Cliente,País,Tipo de Pagamento
Jogo da Vida,Sistema Hash,2233333308,4433727,Online,BRL,230,1,45225,Aprovado,Cliente 1,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,1856927,Online,BRL,230,12,45225,Aprovado,Cliente 2,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,6557777,Online,BRL,230,1,45225,Aprovado,Cliente 3,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,6442945,Online,EUR,230,1,45225,Aprovado,Cliente 7,Portugal,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,9147375,Online,BRL,230,1,45225,Aprovado,Cliente 8,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,2608055,Online,BRL,230,10,45225,Aprovado,Cliente 9,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,5912495,Online,BRL,230,1,45225,Aprovado,Cliente 13,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,9160240,Online,BRL,230,1,45225,Aprovado,Cliente 14,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,9104118,Online,BRL,230,1,45225,Aprovado,Cliente 17,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,7993373,Online,BRL,230,1,45225,Aprovado,Cliente 18,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,5342877,Online,BRL,230,1,45225,Aprovado,Cliente 19,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,6535246,Online,BRL,230,1,45225,Aprovado,Cliente 20,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,7038987,Online,BRL,230,1,45225,Aprovado,Cliente 26,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,9003380,Online,BRL,230,1,45225,Aprovado,Cliente 29,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,6977724,Online,BRL,230,1,45225,Aprovado,Cliente 32,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,4060454,Online,BRL,230,1,45225,Aprovado,Cliente 28,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,8455766,Online,BRL,230,1,45225,Aprovado,Cliente 45,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,5928307,Online,BRL,230,1,45225,Aprovado,Cliente 48,Brasil,Cartão de Crédito
Jogo da Vida,Sistema Hash,2233333308,4267979,Online,BRL,230,1,45225,Aprovado,Cliente 49,Brasil,Cartão de Crédito
